train_loss_step,train_accuracy_step,epoch,step,val_loss_step,val_accuracy_step,val_loss_epoch,val_accuracy_epoch,train_loss_epoch,train_accuracy_epoch
2.3023061752319336,0.0703125,0,0,,,,,,
2.299679756164551,0.1875,0,1,,,,,,
2.29740047454834,0.25,0,2,,,,,,
2.29681134223938,0.234375,0,3,,,,,,
2.293320417404175,0.28125,0,4,,,,,,
2.2902491092681885,0.3359375,0,5,,,,,,
2.287274122238159,0.3359375,0,6,,,,,,
2.2864890098571777,0.3359375,0,7,,,,,,
2.2832725048065186,0.34375,0,8,,,,,,
2.2768633365631104,0.375,0,9,,,,,,
2.270803928375244,0.4140625,0,10,,,,,,
2.2633180618286133,0.4375,0,11,,,,,,
2.2504472732543945,0.4921875,0,12,,,,,,
2.2430903911590576,0.5078125,0,13,,,,,,
2.2519986629486084,0.3515625,0,14,,,,,,
2.228144407272339,0.453125,0,15,,,,,,
2.2224173545837402,0.453125,0,16,,,,,,
2.2385520935058594,0.375,0,17,,,,,,
2.2117931842803955,0.4453125,0,18,,,,,,
2.1900813579559326,0.4296875,0,19,,,,,,
2.1771390438079834,0.4921875,0,20,,,,,,
2.1925930976867676,0.34375,0,21,,,,,,
2.1820740699768066,0.4375,0,22,,,,,,
2.1312689781188965,0.46875,0,23,,,,,,
2.138908624649048,0.453125,0,24,,,,,,
2.112596035003662,0.515625,0,25,,,,,,
2.150988817214966,0.3671875,0,26,,,,,,
2.13455867767334,0.375,0,27,,,,,,
2.0888595581054688,0.4375,0,28,,,,,,
2.1096293926239014,0.40625,0,29,,,,,,
2.1118175983428955,0.375,0,30,,,,,,
2.130441188812256,0.3359375,0,31,,,,,,
2.0803518295288086,0.4296875,0,32,,,,,,
2.072615623474121,0.46875,0,33,,,,,,
2.046030282974243,0.5078125,0,34,,,,,,
2.0358424186706543,0.59375,0,35,,,,,,
2.0261025428771973,0.5703125,0,36,,,,,,
2.0047707557678223,0.609375,0,37,,,,,,
1.9542371034622192,0.703125,0,38,,,,,,
1.94322669506073,0.703125,0,39,,,,,,
1.9763340950012207,0.6171875,0,40,,,,,,
1.9608179330825806,0.6171875,0,41,,,,,,
1.9696844816207886,0.640625,0,42,,,,,,
1.9277888536453247,0.6484375,0,43,,,,,,
1.9817521572113037,0.5859375,0,44,,,,,,
1.967249870300293,0.609375,0,45,,,,,,
1.922365427017212,0.640625,0,46,,,,,,
1.9294233322143555,0.671875,0,47,,,,,,
1.9267220497131348,0.640625,0,48,,,,,,
1.944976568222046,0.6015625,0,49,,,,,,
